PSG_ID,PSG_VERIFIED,PSG_AGE,PSG_GENDER,PSG_TYPE,PSG_SEAT_TYPE,PSG_FLT_ARL_IATA,PSG_FLT_ROUTE,PSG_FLT_DATE
Z67B3C85,False,51,FEMALE,Couple Leisure,Economy Class,JU,LJU to BRU,August 2016
KJG28UJV,False,47,MALE,Family Leisure,Economy Class,JU,MAN to LJU,September 2016
WVXTXAHS,False,18,FEMALE,Couple Leisure,Economy Class,JU,LGW to LJU,July 2016
VM2V4NSN,False,13,MALE,Solo Leisure,Economy Class,JU,TLL to ARN,July 2016
X7FAQMVR,False,19,FEMALE,Business,Economy Class,JU,ZRH to LJU,July 2016
P2OCHWKM,False,18,MALE,Solo Leisure,Economy Class,JU,LJU to ZRH,July 2016
RRIXPGVV,False,24,MALE,Solo Leisure,Economy Class,JU,LCJ to CDG,July 2016
GYZRHRGI,False,54,FEMALE,Solo Leisure,Economy Class,JU,MUC to PRN,January 2016
KK67A8RW,False,20,MALE,Couple Leisure,Economy Class,JU,LJU to AMS,September 2015
BWXPBE2D,False,54,MALE,Solo Leisure,Economy Class,JU,Ljubljana to Moscow,September 2015
MTNNSW7B,False,24,MALE,Business,Business Class,JU,SKP to LJU,September 2015
DNTVV7WT,False,21,MALE,Family Leisure,Economy Class,JU,Frankfurt to Ljubljana,February 2015
M4H6G57R,False,48,MALE,Family Leisure,Economy Class,JU,Ljubljana to Brussels,August 2015
M9Q2JJVR,False,18,FEMALE,Family Leisure,Economy Class,JU,Manchester to Ljubljana,August 2015
WQELCZVZ,True,53,MALE,Family Leisure,Economy Class,HY,Heraklion to Istanbul via Athens,July 2023
AVVTIXBK,True,23,MALE,Couple Leisure,Economy Class,HY,Stockholm to Cairo via Athens,June 2023
UF3NDIUL,True,46,MALE,Family Leisure,Economy Class,HY,Athens to Brussels ,May 2023
N4ZOGWR8,True,17,MALE,Couple Leisure,Premium Economy,HY,Athens to Mykonos,July 2023
US6VDEUM,False,32,MALE,Couple Leisure,Economy Class,HY,Barcelona to Athens,July 2023
LA527GR6,False,14,MALE,Couple Leisure,Business Class,HY,Santorini to Florence,July 2023
NLS92TA8,False,60,MALE,Couple Leisure,Economy Class,HY,Athens to Chania,July 2023
I8F69BBE,True,21,FEMALE,Couple Leisure,Economy Class,HY,Santorini to Tel Aviv via Thessaloniki / Athens,July 2023
FO45UNKC,True,15,FEMALE,Business,Business Class,HY,Munich to Athens,June 2023
ECQHX6TK,True,36,FEMALE,Business,Economy Class,HY,London to Athens,June 2023
P3GKJNZ3,False,33,MALE,Business,Business Class,HY,Athens to Mitilini,July 2023
DMHMIRDP,True,29,MALE,Couple Leisure,Economy Class,HY,Athens to London Heathrow,June 2023
Q9XN3DPK,True,30,FEMALE,Solo Leisure,Economy Class,HY,Cairo to Athens,June 2023
IGJ54RWM,True,29,MALE,Couple Leisure,Economy Class,HY,Malaga to Athens,June 2023
KUJT7IVT,True,27,MALE,Couple Leisure,Economy Class,HY,Sofia to Larnaca via Athens,June 2023
HW5DTJ7L,True,22,FEMALE,Couple Leisure,Business Class,HY,Rhodes to Athens,May 2023
TLR3XZSN,True,38,MALE,Family Leisure,Economy Class,HY,Rome to Athens,May 2023
FU8UY59T,False,56,FEMALE,Business,Economy Class,HY,Mytilini to Athens,May 2023
M3YJMYGR,True,24,MALE,Couple Leisure,Economy Class,HY,Tirana to Athens,April 2023
NCHGOEAL,True,28,FEMALE,Solo Leisure,Economy Class,HY,Prague to Cairo via Athens,April 2023
KLY7O4C8,True,23,FEMALE,Solo Leisure,Economy Class,HY,Athens to London,April 2023
A5XVGNXX,True,16,MALE,Solo Leisure,Economy Class,HY,Belgrade to Marrakech via Athens,April 2023
ZANOPUAB,True,21,MALE,Solo Leisure,Economy Class,HY,Corfu to Athens,March 2023
XMJQGMFC,True,41,MALE,Solo Leisure,Economy Class,HY,Brussels to Thessaloniki via Larnaca,March 2023
AN69CCZH,True,14,MALE,Couple Leisure,Business Class,HY,Athens to Frankfurt,March 2023
AIQJ448L,True,23,MALE,Family Leisure,Business Class,HY,Athens to Berlin,September 2022
PYD25H2Z,True,13,FEMALE,Business,Economy Class,HY,Athens to Stuttgart ,July 2022
CQZVW9A9,True,54,FEMALE,Family Leisure,Economy Class,HY,Tel Aviv to Athens,March 2023
YACUBKG9,True,39,MALE,Family Leisure,Economy Class,HY,Athens to Hamburg,March 2023
RP6QVKT8,True,20,MALE,Couple Leisure,Economy Class,HY,Rome to Athens ,February 2023
N397UT3M,True,15,FEMALE,Family Leisure,Economy Class,HY,Madrid to Larnaca via Athens,June 2022
QGXATYPA,False,33,MALE,Solo Leisure,Economy Class,HY,Paris to Munich via Athens,December 2022
I7FSXYDW,True,48,MALE,Family Leisure,Economy Class,HY,Athens to Brussels,January 2023
AL8GTNCO,True,18,MALE,Solo Leisure,Economy Class,HY,London to Corfu via Athens,December 2022
U6GAM3M5,True,21,MALE,Solo Leisure,Economy Class,HY,Santorini to Athens,December 2022
ZYM66ZER,True,24,MALE,Family Leisure,Economy Class,HY,Athens to Zurich,November 2022
K59SLSI7,True,17,FEMALE,Solo Leisure,Economy Class,HY,Prague to Cairo via Athens,November 2022
HSLBMOWW,True,28,FEMALE,Family Leisure,Economy Class,HY,Rhodes to Stockholm,November 2022
EQ2UT42D,True,21,MALE,Business,Economy Class,HY,Belgrade to Chania,September 2022
QRLAQQ8G,True,22,FEMALE,Solo Leisure,Economy Class,HY,Madrid to Heraklion via Athens,October 2022
X8FHJHIR,True,39,MALE,Couple Leisure,Economy Class,HY,Santorini to Athens,August 2022
CWZH45BX,True,14,MALE,Business,Economy Class,HY,Larnaca to Athens,October 2022
FHM4VDBU,True,57,MALE,Couple Leisure,Economy Class,HY,Santorini to Athens,October 2022
RZYP6DM2,False,15,FEMALE,Couple Leisure,Economy Class,HY,Corfu to Skopje via Athens,August 2022
HURYVG49,True,16,FEMALE,Solo Leisure,Economy Class,HY,Yerevan to Hamburg via Athens,September 2022
GJQIHAOI,True,18,MALE,Couple Leisure,Economy Class,HY,Oslo to Santorini,September 2022
DYTYZFGJ,True,18,FEMALE,Family Leisure,Economy Class,HY,Rhodes to Amsterdam via Athens ,September 2022
J8L9H6WX,True,15,MALE,Solo Leisure,Economy Class,HY,Prague to Cairo via Athens,September 2022
LQTRCCAW,True,19,MALE,Business,Economy Class,HY,Helsinki to Athens,September 2022
VNKEAJTS,True,21,FEMALE,Couple Leisure,Economy Class,HY,Tbislis to Frankfurt via Athens ,June 2022
E73YKZH8,True,18,MALE,Solo Leisure,Economy Class,HY,Athens to Beirut,September 2022
FNKG3UKJ,True,27,FEMALE,Couple Leisure,Economy Class,HY,Athens to Mykonos,August 2022
GZRLRSVV,True,29,MALE,Couple Leisure,Economy Class,HY,Athens to Munich,September 2022
GQ9KQYFH,True,27,FEMALE,Solo Leisure,Economy Class,HY,Berlin to Thessaloniki,June 2022
OHCXM58I,True,15,FEMALE,Solo Leisure,Economy Class,HY,Stuttgart to Thessaloniki via Athens,August 2022
KFBAXKSC,False,37,FEMALE,Business,Economy Class,HY,Athens to London Heathrow,August 2022
K2P6EMMJ,True,42,FEMALE,Family Leisure,Economy Class,HY,London to Istanbul via Athens,August 2022
EZWEB9P7,True,27,FEMALE,Business,Economy Class,HY,Heraklion to Athens,August 2022
W2JWSNDI,True,19,FEMALE,Business,Economy Class,HY,Athens to Sofia,July 2022
K3E7OV9G,True,18,MALE,Couple Leisure,Economy Class,HY,Mykonos to Rome via Athens,July 2022
EAZGJ98I,False,44,FEMALE,Solo Leisure,Economy Class,HY,Athens to London,July 2022
L7TDH6WV,True,17,FEMALE,Solo Leisure,Economy Class,HY,Athens to London,July 2022
KH5XHHD3,True,42,FEMALE,Solo Leisure,Premium Economy,HY,London to Athens,July 2022
D5EIBA55,True,55,MALE,Solo Leisure,Economy Class,HY,Thessaloniki to Athens,July 2022
RA8RPXK5,False,27,FEMALE,Solo Leisure,Economy Class,HY,Istanbul to Athens,June 2022
HYOAHI9M,False,20,MALE,Business,Economy Class,HY,Dublin to Paros via Athens,June 2022
AMA3BIB3,True,25,FEMALE,Couple Leisure,Business Class,HY,Mykonos to Copenhagen via Athens,June 2022
Y7BZDKNI,False,23,MALE,Solo Leisure,Economy Class,HY,Athens to Paris,June 2022
R2BYTVNA,False,44,MALE,Solo Leisure,Economy Class,HY,Athens to Mykonos,June 2022
CUE7264O,True,19,MALE,Couple Leisure,Premium Economy,HY,Santorini to Athens,May 2022
LVNDAH4S,True,14,MALE,Couple Leisure,Economy Class,HY,Hamburg to Athens,May 2022
B9ITQOKS,True,57,MALE,Solo Leisure,Economy Class,HY,Heraklion to Athens,April 2022
CWPPKD6X,False,26,FEMALE,Solo Leisure,Economy Class,HY,London to Athens,April 2022
CMIF255T,True,37,MALE,Family Leisure,Economy Class,HY,Brussels to Athens,May 2021
IFG5EFN3,True,49,FEMALE,Couple Leisure,Economy Class,HY,London to Istanbul via Athens,April 2022
TES95JCC,True,37,FEMALE,Business,Business Class,HY,Athens to Istanbul,April 2022
EJM43X2T,False,14,MALE,Couple Leisure,Economy Class,HY,London to Athens,September 2021
EEV3LC7H,True,46,FEMALE,Couple Leisure,Economy Class,HY,Athens to Thessaloniki,April 2022
QXNHELRQ,False,20,FEMALE,Solo Leisure,Economy Class,HY,Athens to London,March 2022
NOOLCIB5,True,24,FEMALE,Business,Economy Class,HY,Athens to Santorini,April 2022
H4ODSGUD,True,28,MALE,Business,Economy Class,HY,Athens to Stockholm,February 2022
GR3KN9JD,False,23,MALE,Solo Leisure,Economy Class,HY,London to Athens,February 2022
OVN3KU8N,False,17,FEMALE,Family Leisure,Economy Class,HY,Athens to London,February 2022
QNC344DG,True,27,MALE,Family Leisure,Economy Class,HY,Athens to Helsinki,December 2021
MUJPGOMT,True,32,MALE,Family Leisure,Economy Class,HY,Athens to Paris,December 2021
BSBDB54B,True,36,MALE,Solo Leisure,Economy Class,HY,Prague to Cairo via Athens,November 2021
OYXXRCW9,True,28,MALE,Business,Economy Class,HY,Prague to Athens via Heraklion,December 2021
KFVXH9UK,True,36,MALE,Business,Economy Class,HY,Larnaca to Athens,November 2021
S8SLFDST,True,45,FEMALE,Business,Economy Class,HY,Stockholm to Athens,November 2021
VT7UM83V,True,29,MALE,Family Leisure,Economy Class,HY,London to Athens,November 2021
P8P2AJ89,True,32,FEMALE,Solo Leisure,Economy Class,HY,Athens to Munich,October 2021
NO8NNZR4,True,23,FEMALE,Couple Leisure,Economy Class,HY,Stuttgart to Heraklion,October 2021
WHX52JLA,True,15,MALE,Couple Leisure,Economy Class,HY,Naples to Santorini,October 2021
ENNH5PDN,True,20,FEMALE,Solo Leisure,Economy Class,HY,Heraklion to Thessaloniki,September 2021
WPMUCMAZ,True,17,MALE,Solo Leisure,Economy Class,HY,Corfu to Athens,September 2021
IC8H924V,True,16,MALE,Couple Leisure,Economy Class,HY,Rhodes to Geneva via Athens,September 2021
XQ95JMRV,True,26,FEMALE,Solo Leisure,Economy Class,HY,Sofia to Thessaloniki via Athens,September 2021
VQNLU2HV,True,21,MALE,Business,Economy Class,HY,Zurich to Athens,September 2021
I3HH5OK4,False,20,MALE,Solo Leisure,Business Class,HY,Larnaca to London Heathrow via Athens,September 2021
EHUCHE5L,False,13,FEMALE,Family Leisure,Economy Class,HY,London to Athens,September 2021
V6FFBRET,False,26,FEMALE,Couple Leisure,Economy Class,NH,Seattle to Dublin,August 2022
MSQVWVBL,True,14,MALE,Couple Leisure,Economy Class,NH,Dublin to Orlando via Cork,July 2023
HTC99MBN,True,21,MALE,Couple Leisure,Economy Class,NH,Alicante to Dublin,July 2023
AGS5YSEB,False,42,MALE,Couple Leisure,Economy Class,NH,Southampton to Dublin,July 2023
HPHIFC9P,False,22,MALE,Solo Leisure,Economy Class,NH,Edinburgh to Belfast,July 2023
SDWKO54O,False,21,MALE,Couple Leisure,Economy Class,NH,Dublin to London,May 2023
Y99ISNDU,False,15,MALE,Family Leisure,Economy Class,NH,Dublin to Philadelphia,July 2023
SZKXIZXM,False,34,MALE,Couple Leisure,Economy Class,NH,Dublin to New York,June 2023
USENTMKJ,False,26,MALE,Family Leisure,Economy Class,NH,Paris to New York via Dublin,June 2023
XIYEB6AP,True,31,FEMALE,Family Leisure,Economy Class,NH,Naples to Washington via Dublin,August 2022
EX6JJQDP,True,14,FEMALE,Family Leisure,Economy Class,NH,Chicago to Dublin,June 2023
GKNG55SC,False,24,MALE,Couple Leisure,Economy Class,NH,Boston to Athens via Dublin,June 2023
HQIHDJUE,True,29,FEMALE,Family Leisure,Economy Class,NH,Cork to Dubrovnik,June 2023
DZPTLFAY,False,23,FEMALE,Couple Leisure,Economy Class,NH,New York to Naples via Dublin ,June 2023
DHEA9OZR,True,26,FEMALE,Couple Leisure,Economy Class,NH,Manchester to New York JFK,May 2023
EOMLIKXN,True,39,MALE,Solo Leisure,Economy Class,NH,Dublin to San Francisco,June 2023
PNSNYMWC,False,35,FEMALE,Couple Leisure,Economy Class,NH,Washington to Naples via Dublin,June 2023
MRMJ32UC,True,54,FEMALE,Couple Leisure,Business Class,NH,New York JFK to Manchester,June 2023
ZARJK3KP,True,24,FEMALE,Family Leisure,Economy Class,NH,Orlando to Dublin,May 2023
IR3GMDBJ,False,32,FEMALE,Business,Economy Class,NH,London Heathrow to Shannon,June 2023
H94W3T5W,False,17,MALE,Family Leisure,Economy Class,NH,Boston to Amsterdam via Dublin ,March 2023
G98XPHQ8,True,45,FEMALE,Business,Business Class,NH,Dublin to Boston,May 2023
LSOHPVPC,True,37,MALE,Solo Leisure,Economy Class,NH,Dublin to London,June 2023
OV673J5B,True,25,FEMALE,Business,Business Class,NH,Edinburgh to Toronto via Dublin,May 2023
LYXNJUTK,True,27,MALE,Solo Leisure,Economy Class,NH,Edinburgh to Dublin,May 2023
Q26CAO9S,True,25,MALE,Family Leisure,Economy Class,NH,Chicago to Zurich via Dublin,May 2023
XZECUXOG,True,17,MALE,Business,Economy Class,NH,Dublin to London,May 2023
OMMDLRWL,False,16,FEMALE,Couple Leisure,Economy Class,NH,Boston to Naples via Dublin,May 2023
AHA27TV7,False,39,MALE,Business,Premium Economy,NH,Dublin to Geneva,May 2023
G2Z7QC8I,True,18,FEMALE,Couple Leisure,Business Class,NH,San Francisco to Dublin,May 2023
ZAGGYX7V,True,21,MALE,Solo Leisure,Economy Class,NH,Los Angeles to Dublin,May 2023
ZKQE2UAJ,True,20,FEMALE,Business,Business Class,NH,Manchester to New York JFK ,May 2023
IQWE4D65,False,17,MALE,Family Leisure,Economy Class,NH,New York to Frankfurt via Dublin,May 2023
QYCHGKHB,True,38,FEMALE,Solo Leisure,Economy Class,NH,Berlin to Dublin,May 2023
JUCJCIVK,True,38,FEMALE,Solo Leisure,Economy Class,NH,Dublin to London,May 2023
UOHC55AY,True,24,FEMALE,Couple Leisure,Economy Class,NH,Dublin to Dublin via Alicante airport,May 2023
MP9Y597M,False,14,MALE,Family Leisure,Economy Class,NH,Toronto to London via Dublin,August 2022
DGQPV75U,False,27,MALE,Solo Leisure,Economy Class,NH,Hartford to Dublin,April 2023
XZMVYIFC,False,23,MALE,Solo Leisure,Economy Class,NH,London Heathrow to Shannon,April 2023
DBVRWDC9,True,37,MALE,Business,Economy Class,NH,Gatwick to Orlando via Dublin,April 2023
I3L6422P,True,21,MALE,Family Leisure,Economy Class,NH,Dublin to Edinburgh,April 2023
UPB3JLUI,True,37,FEMALE,Family Leisure,Economy Class,NH,Dublin to Hartford,April 2023
UK7445WR,False,35,MALE,Couple Leisure,Economy Class,NH,Dublin to Newark,April 2023
ILVJOJ3K,True,17,FEMALE,Solo Leisure,Economy Class,NH,London Heathrow to Cork,February 2023
HRYASDQR,False,14,MALE,Couple Leisure,Economy Class,NH,Los Angeles to Paris via Dublin,September 2022
OWTHE3TB,True,29,FEMALE,Couple Leisure,Economy Class,NH,London Heathrow to Belfast,January 2023
G4RE29H6,True,24,FEMALE,Family Leisure,Business Class,NH,Paris to San Francisco via Dublin,December 2022
MKWIKHHK,False,48,FEMALE,Solo Leisure,Economy Class,NH,Washington to Glasgow via Dublin,January 2023
OPKROJ5R,True,17,MALE,Family Leisure,Economy Class,NH,Manchester to New York JFK,December 2022
JMHZMUQ3,False,15,FEMALE,Family Leisure,Economy Class,NH,Toronto to Birmingham via Dublin,December 2022
IWWYWQ35,False,22,MALE,Solo Leisure,Economy Class,NH,Dublin to Boston,September 2022
L2RFG7Q8,True,48,FEMALE,Solo Leisure,Economy Class,NH,Washington to London via Dublin,December 2022
U2L69LYV,False,49,MALE,Business,Premium Economy,NH,Paris to Boston via Dublin,December 2022
VT4Q5BAG,False,19,FEMALE,Couple Leisure,Economy Class,NH,Chicago to Dublin,December 2022
QW8A8T7T,True,51,FEMALE,Solo Leisure,Economy Class,NH,Dublin to Glasgow,December 2022
D5WS9ZSP,True,32,FEMALE,Solo Leisure,Economy Class,NH,Dublin to Seattle,December 2022
VQHZFBP5,True,16,MALE,Solo Leisure,Economy Class,NH,Belfast City to Southampton,November 2022
EBYOKGGV,False,21,FEMALE,Family Leisure,Economy Class,NH,Dublin to Boston,November 2022
OBSBJFXS,False,54,MALE,Solo Leisure,Economy Class,NH,Chicago to Venice via Dublin,September 2022
MK4G4NUH,True,42,FEMALE,Couple Leisure,Economy Class,NH,Dublin to London ,July 2022
BRXZGOUI,True,17,MALE,Family Leisure,Economy Class,NH,Orlando to Manchester via New York / Dublin,November 2022
SWK9WVDR,False,40,MALE,Couple Leisure,Economy Class,NH,London to Dublin ,July 2022
F6ZHFC8G,True,27,FEMALE,Family Leisure,Economy Class,NH,Boston to London via Shannon,June 2022
YBKFFB2E,True,25,MALE,Solo Leisure,Economy Class,NH,Dublin to London Gatwick,October 2022
JMJFZQUR,False,30,FEMALE,Solo Leisure,Economy Class,NH,Rome to Dublin,October 2022
OV2CMWN8,True,21,MALE,Couple Leisure,Economy Class,NH,Dublin to Chicago,October 2022
OFO4H7HA,False,16,MALE,Couple Leisure,Economy Class,NH,Philadelphia to Edinburgh via Dublin,October 2022
Z5GNSSRI,False,27,MALE,Business,Business Class,NH,Seattle to Dublin,July 2022
RHQR26EF,True,32,MALE,Solo Leisure,Economy Class,NH,Chicago to Amsterdam via Dublin,September 2022
S7KI5ZWU,False,13,FEMALE,Solo Leisure,Economy Class,NH,Dublin to Lisbon,September 2022
QO96ZMOM,True,27,MALE,Solo Leisure,Economy Class,NH,Edinburgh to New York JFK via Dublin,June 2022
B489X8FL,False,20,FEMALE,Couple Leisure,Economy Class,NH,Dublin to Boston,September 2022
EA7L87LP,True,40,FEMALE,Solo Leisure,Economy Class,NH,Birmingham to Philadelphia via Dublin,September 2022
GJ6M8PTE,True,33,MALE,Couple Leisure,Economy Class,NH,Philadelphia to Dublin,July 2022
JC4EMCQ3,False,15,FEMALE,Family Leisure,Economy Class,NH,Chicago to Dublin ,September 2022
JRJBEZUO,True,19,MALE,Business,Economy Class,NH,Dublin to Birmingham,September 2022
ZC7AQWCN,False,13,MALE,Solo Leisure,Economy Class,NH,Geneva to Dublin,September 2022
T2DR26BF,True,34,MALE,Solo Leisure,Economy Class,NH,Dublin to Washington,September 2022
VZXJ2YT6,True,37,FEMALE,Couple Leisure,Economy Class,NH,Toronto to Dublin,September 2022
NUSQ7IEZ,True,34,MALE,Couple Leisure,Business Class,NH,Orlando to Rome via Dublin,September 2022
AFMQ93FG,True,25,MALE,Solo Leisure,Economy Class,NH,Dublin to Los Angeles,September 2022
PO8V5VMF,False,14,MALE,Family Leisure,Business Class,NH,Dublin to New York JFK,September 2022
ZA5C6DG8,True,56,MALE,Solo Leisure,Economy Class,NH,Paris to New York via Dublin,September 2022
LUIB4P2S,True,14,MALE,Family Leisure,Economy Class,NH,Dublin to Washington Dulles,July 2022
XEZZ9WGI,True,44,FEMALE,Couple Leisure,Economy Class,NH,San Francisco to Paris via Dublin,September 2022
SAEN363K,True,28,MALE,Solo Leisure,Economy Class,NH,Dublin to Chicago,August 2022
OJK3W5Z7,True,22,FEMALE,Solo Leisure,Economy Class,NH,Gatwick to Dublin,August 2022
SQBFPKCF,False,32,MALE,Solo Leisure,Economy Class,NH,Santiago de Compostela to Dublin,August 2022
DWZSCZA4,False,23,MALE,Couple Leisure,Economy Class,NH,Toronto to Dublin,May 2022
QNKSEMSJ,True,49,MALE,Solo Leisure,Economy Class,NH,Dublin to Chicago,August 2022
KHZ7ZILP,True,32,MALE,Family Leisure,Economy Class,NH,Chicago to Hamburg via Dublin,August 2022
ACBB58NL,False,24,FEMALE,Family Leisure,Economy Class,NH,Istanbul to Dublin,August 2022
SJPSECPY,False,23,MALE,Couple Leisure,Economy Class,NH,Seattle to Manchester via Dublin,August 2022
O9VLB4AF,True,23,FEMALE,Solo Leisure,Economy Class,NH,Belfast to London,July 2022
G7WZT99F,True,24,FEMALE,Family Leisure,Economy Class,NH,Naples to Washington via Dublin,August 2022
OMR4BPSB,True,17,FEMALE,Solo Leisure,Economy Class,NH,Dublin to Seattle,August 2022
FPOU87PN,False,15,FEMALE,Couple Leisure,Economy Class,NH,Chicago O'Hare to Amsterdam via Dublin,August 2022
Q8FSDHSP,False,25,FEMALE,Family Leisure,Economy Class,NH,Boston to Edinburgh via Dublin,August 2022
OO54WXZ6,True,33,MALE,Couple Leisure,Economy Class,NH,Los Angeles to Rome via Dublin,August 2022
H4UKTN2W,True,20,FEMALE,Solo Leisure,Economy Class,NH,Cork to London,August 2022
X2K6ZG4N,True,13,MALE,Solo Leisure,Economy Class,WN,Cascais to Bragança,April 2019
WZEO8UV3,True,30,FEMALE,Solo Leisure,Economy Class,WN,Bragança to Cascais,April 2019
CY3MOTMM,False,16,MALE,Couple Leisure,Economy Class,WN,Funchal to Porto Santo,July 2017
DU5382HM,True,18,FEMALE,Solo Leisure,Economy Class,KB,Thessaloniki to Havana via Moscow,January 2023
QQHW43D7,True,47,MALE,Solo Leisure,Economy Class,KB,Osaka to Dublin via Moscow,July 2022
Z4XLHEM3,True,17,FEMALE,Solo Leisure,Business Class,KB,London to Moscow,January 2022
JI74HQMQ,False,32,FEMALE,Business,Economy Class,KB,Vladivostok to Grozny ,August 2021
KQH3JNKF,True,14,FEMALE,Business,Business Class,KB,Larnaca to Moscow,September 2021
KCEQSF8U,True,24,MALE,Business,Economy Class,KB,Vienna to Moscow,October 2020
SRIR3YXF,True,24,MALE,Solo Leisure,Business Class,KB,Moscow to Larnaca,September 2021
KK53BS8U,True,33,MALE,Business,Premium Economy,KB,Moscow to Larnaca,September 2021
CB6BC5F2,True,59,FEMALE,Family Leisure,Economy Class,KB,Miami to Moscow,August 2021
VS45AYNE,False,23,MALE,Solo Leisure,Premium Economy,KB,Petropavlovsk-Kamchatsky to Moscow ,August 2021
KR2JKGIG,True,15,FEMALE,Business,Economy Class,KB,Moscow to London,July 2021
R96CFEEX,False,30,FEMALE,Couple Leisure,Economy Class,KB,Manchester to Tokyo via Moscow,July 2020
O9E44ZHE,True,22,FEMALE,Business,Economy Class,KB,Delhi to Copenhagen via Moscow,April 2020
T3NPCMSF,True,13,FEMALE,Family Leisure,Economy Class,KB,Riga to Dubai via Moscow,March 2020
Q75W2QNB,True,19,MALE,Couple Leisure,Economy Class,KB,Los Angeles to Antalya via Mosco,December 2020
AQ69WY5L,True,33,FEMALE,Solo Leisure,Economy Class,KB,Brussels to Bangkok via Moscow,April 2020
AMYC57OE,False,16,MALE,Couple Leisure,Economy Class,KB,Rome to Tokyo via Moscow,April 2020
MTKJWCR3,True,18,MALE,Solo Leisure,Business Class,KB,London to Moscow,October 2020
KVDTYQ73,True,32,FEMALE,Solo Leisure,Economy Class,KB,Hamburg to St. Petersburg,April 2020
UWQJIGMC,True,23,FEMALE,Solo Leisure,Premium Economy,KB,London to Moscow,August 2020
H2AYPSK8,True,21,FEMALE,Business,Economy Class,KB,Moscow to London,August 2020
DIKDK3FU,True,13,FEMALE,Solo Leisure,Economy Class,KB,Madrid to Bangkok via Moscow,April 2020
YY3A6INJ,True,21,MALE,Family Leisure,Economy Class,KB,Moscow to London,August 2020
YCCTLUOU,True,39,FEMALE,Couple Leisure,Economy Class,KB,Hanoi to Dublin via Moscow,April 2020
XNW23A3G,True,15,FEMALE,Solo Leisure,Economy Class,KB,Vilnius to Tokyo via Moscow,January 2020
BFQ5ZILO,False,14,FEMALE,Business,Business Class,KB,Moscow to Bangkok,April 2020
DA8SP7LM,True,14,MALE,Solo Leisure,Economy Class,KB,Moscow to Hanoi,September 2019
LQFONE43,True,19,FEMALE,Solo Leisure,Business Class,KB,Moscow to St Petersburgh,March 2020
OCI6UUMP,True,25,FEMALE,Solo Leisure,Economy Class,KB,New York to Tel Aviv via Moscow,April 2019
GBUOMC69,True,33,FEMALE,Solo Leisure,Business Class,KB,Hong Kong to Moscow,November 2019
